id,query
1,Can I return an item?
2,What is your return policy?
3,How many days do I have to return a product?
4,Can I exchange an item?
5,Are all products returnable?
6,Can I return a damaged item?
7,What if my item arrived damaged?
8,Is replacement available for defective products?
9,Can I get a refund for a damaged product?
10,Are damaged items eligible for free replacement?
11,Can I return a phone?
12,What is the return policy for mobile phones?
13,Can I replace a defective smartphone?
14,Are phones eligible for replacement?
15,What is the return window for electronics?
16,Can I return an Amazon device?
17,Are digital devices returnable?
18,What is the policy for Echo devices?
19,Can I return a phone after using it?
20,Are electronic items refundable?
21,Can I return it?
22,It was a phone
23,Can I return a damaged item?
24,It arrived yesterday
25,Is my item eligible for return?
26,It is an electronic device
27,Can I replace my order?
28,It is defective
29,Is return possible?
30,It was delivered 5 days ago
31,Please process my refund.
32,I want my money back.
33,Initiate a refund for my order.
34,Cancel my order and refund me.
35,I demand a refund now.
36,I want to talk to a human.
37,Connect me to customer support.
38,Refund my order immediately.
39,I want to escalate this issue.
40,Raise a complaint and refund my order.
41,Can I return a wrong item?
42,What if the product is not as described?
43,Is free replacement available?
44,Can I exchange a damaged phone?
45,What if I miss the return window?
46,Is refund possible after replacement?
47,Do you allow refunds or only replacements?
48,Is return allowed after delivery?
49,Can I return an opened item?
50,Are customized items returnable?
